Query Case,Cited Cases
0000485657.txt,"""['0000019696.txt']"""
0001565205.txt,"""['0000249256.txt', '0000337766.txt', '0001376678.txt']"""
0089815281.txt,"""['0000275246.txt']"""
0000564334.txt,"""['0000069508.txt', '0000132914.txt', '0000208053.txt', '0000332350.txt', '0000334320.txt', '0000410390.txt', '0000442493.txt', '0000577658.txt', '0000654040.txt', '0000655850.txt', '0000691912.txt', '0000722866.txt', '0000787849.txt', '0001019772.txt', '0001178300.txt', '0001312899.txt', '0001333279.txt', '0001402652.txt', '0001502327.txt', '0001508141.txt', '0001516140.txt', '0001562847.txt', '0001565240.txt', '0001854056.txt']"""
0000567203.txt,"""['0000890137.txt']"""
0001791534.txt,"""['0000089235.txt', '0000355924.txt', '0000393217.txt', '0001597147.txt', '0001832450.txt']"""
0000508361.txt,"""['0000121478.txt', '0000154064.txt', '0000659845.txt']"""
0001023674.txt,"""['0000314044.txt', '0000722472.txt', '0000875590.txt', '0001101687.txt', '0001394213.txt', '0001495774.txt']"""
0000775894.txt,"""['0023780442.txt']"""
0001601478.txt,"""['0000037174.txt', '0000122530.txt', '0000317350.txt', '0000410688.txt', '0000723828.txt', '0000943850.txt', '0001002007.txt', '0001309482.txt', '0001360078.txt', '0001378494.txt', '0001502681.txt', '0001586918.txt', '0001860679.txt', '0001985622.txt']"""
0001499787.txt,"""['0000044887.txt', '0001912440.txt']"""
0000055200.txt,"""['0000413807.txt', '0001841330.txt']"""
0001731907.txt,"""['0000140248.txt', '0001020411.txt', '0001111640.txt', '0138617391.txt']"""
0001620184.txt,"""['0000485116.txt', '0000776307.txt', '0001067453.txt']"""
0001175689.txt,"""['0000529384.txt']"""
0001703545.txt,"""['0000073154.txt', '0000819123.txt', '0001015973.txt']"""
0000298772.txt,"""['0000029716.txt', '0000173114.txt', '0000320068.txt', '0000480687.txt', '0000511868.txt', '0000627937.txt', '0000659406.txt', '0000684577.txt', '0000804737.txt', '0000806924.txt', '0000815297.txt', '0000921611.txt', '0001209276.txt', '0001273655.txt', '0001542898.txt', '0001551639.txt', '0001660026.txt', '0001748715.txt', '0001799441.txt', '0001827294.txt', '0001888316.txt', '0001894922.txt', '0001895637.txt', '0001912249.txt']"""
0000042052.txt,"""['0001092479.txt']"""
0000920227.txt,"""['0000079059.txt', '0001395872.txt', '0001602878.txt', '0001885602.txt']"""
0000835996.txt,"""['0000339880.txt', '0001775619.txt']"""
0001450722.txt,"""['0000017001.txt', '0000808713.txt', '0000937486.txt', '0001013291.txt', '0001142915.txt', '0001219198.txt', '0001656576.txt', '0001740954.txt', '0001959866.txt', '0181440373.txt']"""
0000021773.txt,"""['0000865455.txt', '0001464523.txt']"""
0001050827.txt,"""['0000313314.txt', '0000507731.txt', '0000554818.txt', '0000868968.txt', '0001129467.txt', '0001865791.txt', '0001867627.txt', '0001993685.txt', '0069408974.txt', '0073715021.txt']"""
0000244296.txt,"""['0000569229.txt', '0000676957.txt', '0000759511.txt', '0001041362.txt', '0001177668.txt', '0001211542.txt', '0001341973.txt', '0001348345.txt', '0001373739.txt', '0001385375.txt', '0001715377.txt', '0001765293.txt', '0001856456.txt', '0001908737.txt', '0001918855.txt']"""
0000495339.txt,"""['0001765052.txt', '0001813027.txt']"""
0001737583.txt,"""['0000135953.txt', '0000314044.txt', '0000320843.txt', '0000497388.txt', '0000513801.txt', '0000788891.txt', '0000790256.txt', '0000907493.txt', '0000952082.txt', '0000958552.txt', '0001033021.txt', '0001085457.txt', '0001171702.txt', '0001186368.txt', '0001316639.txt', '0001563564.txt', '0001569870.txt', '0001646284.txt', '0001805578.txt', '0001830927.txt', '0001839211.txt', '0001894548.txt', '0001938608.txt', '0001969682.txt', '0047808634.txt', '0112850760.txt']"""
0024661153.txt,"""['0000078536.txt', '0000220787.txt', '0000338008.txt', '0000501198.txt', '0000619152.txt', '0000768175.txt', '0000785041.txt', '0001227505.txt', '0001496509.txt', '0001628260.txt', '0001745823.txt', '0001787020.txt', '0001938988.txt']"""
0000672749.txt,"""['0000636420.txt', '0000722980.txt', '0000746230.txt', '0001128798.txt']"""
0000312254.txt,"""['0000265656.txt', '0000803478.txt', '0001010315.txt', '0001104260.txt', '0001154723.txt', '0011977803.txt']"""
0001869233.txt,"""['0000187839.txt', '0000481892.txt', '0000771661.txt', '0000773823.txt', '0000783718.txt', '0000787414.txt', '0000842650.txt', '0000846962.txt', '0000993476.txt', '0000998791.txt', '0001019678.txt', '0001199035.txt', '0001431870.txt', '0001482029.txt', '0001834465.txt', '0001905789.txt', '0001918772.txt', '0001957344.txt']"""
0000975807.txt,"""['0000574042.txt', '0000581086.txt', '0000976179.txt']"""
0001546983.txt,"""['0000577658.txt', '0001893247.txt']"""
0000588099.txt,"""['0000424874.txt', '0000525017.txt', '0000799168.txt', '0000881364.txt', '0000899911.txt', '0001252118.txt', '0001356455.txt', '0001558249.txt', '0001989300.txt']"""
0000465922.txt,"""['0000131961.txt', '0001788368.txt', '0001988879.txt']"""
0001535672.txt,"""['0000128161.txt', '0000304499.txt', '0000514162.txt', '0000608874.txt', '0000662731.txt', '0000673012.txt', '0000701027.txt', '0000779102.txt', '0000854341.txt', '0001009711.txt', '0001026291.txt', '0001105204.txt', '0001108586.txt', '0001204286.txt', '0001233720.txt', '0001293755.txt', '0001377254.txt', '0001521969.txt', '0001540511.txt', '0001564015.txt', '0001647721.txt', '0001692271.txt', '0001901448.txt', '0001949862.txt']"""
0000504910.txt,"""['0000151029.txt', '0000412326.txt', '0000446498.txt', '0001379027.txt']"""
0000219225.txt,"""['0000090545.txt', '0001030770.txt', '0001275107.txt', '0001290730.txt', '0001356285.txt', '0001358798.txt', '0001800825.txt', '0001886356.txt', '0001926847.txt']"""
0000218898.txt,"""['0000261773.txt', '0000643909.txt', '0000677551.txt', '0000817874.txt', '0001450918.txt', '0001490348.txt', '0001575265.txt']"""
0001043959.txt,"""['0000067655.txt', '0001223990.txt', '0001827662.txt']"""
0000226270.txt,"""['0000134532.txt', '0000223606.txt', '0000282972.txt', '0000284265.txt', '0000386929.txt', '0000433120.txt', '0000452118.txt', '0000593214.txt', '0000646555.txt', '0000703650.txt', '0000798935.txt', '0000899065.txt', '0000924542.txt', '0000955281.txt', '0001084188.txt', '0001118187.txt', '0001154981.txt', '0001192149.txt', '0001199248.txt', '0001214175.txt', '0001271427.txt', '0001275589.txt', '0001302911.txt', '0001312982.txt', '0001407555.txt', '0001489340.txt', '0001510498.txt', '0001603336.txt', '0001653863.txt', '0001763701.txt', '0001770494.txt', '0001892742.txt', '0001916315.txt', '0001921344.txt', '0001940266.txt', '0048523797.txt']"""
0001227505.txt,"""['0000810491.txt', '0001448303.txt']"""
0021266288.txt,"""['0000009285.txt', '0000025576.txt', '0000041868.txt', '0000043023.txt', '0000045759.txt', '0000149321.txt', '0000219225.txt', '0000304499.txt', '0000456839.txt', '0000480016.txt', '0000514162.txt', '0000556997.txt', '0000603736.txt', '0000608874.txt', '0000629631.txt', '0000673012.txt', '0000761214.txt', '0000761967.txt', '0000792995.txt', '0000879806.txt', '0000929659.txt', '0000944601.txt', '0000973363.txt', '0001148508.txt', '0001300072.txt', '0001308308.txt', '0001334665.txt', '0001512520.txt', '0001643138.txt', '0001706770.txt', '0001718426.txt', '0001857950.txt', '0001879676.txt', '0001880952.txt', '0001890860.txt', '0001902038.txt', '0001980640.txt', '0040472258.txt', '0184660633.txt']"""
0001763171.txt,"""['0000212413.txt', '0000352353.txt']"""
0001126745.txt,"""['0000971550.txt', '0001063842.txt']"""
0000359157.txt,"""['0000919738.txt', '0001761133.txt']"""
0000487303.txt,"""['0000315836.txt', '0000556016.txt', '0000781364.txt', '0001300598.txt', '0001389940.txt', '0001883538.txt']"""
0000053080.txt,"""['0000027891.txt', '0000113707.txt', '0000871220.txt', '0001882267.txt']"""
0001444110.txt,"""['0000186617.txt', '0000206286.txt', '0000241245.txt', '0000432259.txt', '0000510738.txt', '0000641179.txt', '0001138005.txt', '0001373058.txt', '0001417351.txt', '0001434001.txt', '0001459699.txt', '0001934801.txt']"""
0001227331.txt,"""['0000424874.txt', '0000470397.txt', '0001377254.txt', '0001564015.txt']"""
0001099363.txt,"""['0000545301.txt', '0001201493.txt']"""
0001238641.txt,"""['0000065942.txt', '0000082365.txt', '0000290309.txt', '0000663763.txt', '0000841145.txt', '0000897659.txt', '0000992048.txt', '0001005482.txt', '0001490634.txt', '0001631350.txt', '0001983701.txt']"""
0000578559.txt,"""['0000076486.txt', '0000680370.txt', '0001039262.txt']"""
0001453495.txt,"""['0000035219.txt', '0000080392.txt', '0000525017.txt', '0000588099.txt', '0000899911.txt', '0000963415.txt', '0001189707.txt', '0001238386.txt', '0001464450.txt', '0001504198.txt', '0001522506.txt', '0001568701.txt']"""
0001880345.txt,"""['0000105440.txt', '0000161423.txt', '0000180317.txt', '0001070490.txt', '0001467818.txt', '0001640953.txt', '0001780900.txt', '0001855966.txt', '0021266288.txt']"""
0000263647.txt,"""['0000325846.txt', '0000418471.txt', '0001856414.txt']"""
0000501198.txt,"""['0001628260.txt']"""
0001697169.txt,"""['0000338007.txt', '0000523225.txt', '0000565925.txt', '0000839664.txt']"""
0001398945.txt,"""['0000644799.txt']"""
0001633734.txt,"""['0001913367.txt', '0001993897.txt']"""
0001435406.txt,"""['0000002442.txt', '0000190909.txt', '0000661219.txt', '0000758530.txt', '0001219536.txt', '0001234186.txt', '0001776507.txt', '0001971593.txt', '0105108104.txt']"""
0001729096.txt,"""['0000156125.txt', '0000459058.txt', '0000764329.txt', '0001363504.txt']"""
0047177633.txt,"""['0000047581.txt', '0000239473.txt', '0000739415.txt', '0001006709.txt', '0001025500.txt', '0001297843.txt', '0001373443.txt', '0001514267.txt', '0001629874.txt', '0001892481.txt', '0001901476.txt', '0062572719.txt', '0083590055.txt', '0138278493.txt']"""
0138715291.txt,"""['0001707850.txt']"""
0000257915.txt,"""['0000769112.txt', '0000879341.txt', '0000904337.txt', '0000941065.txt', '0001057753.txt', '0001164175.txt', '0001327310.txt', '0001491541.txt', '0001605325.txt', '0137982394.txt']"""
0000053190.txt,"""['0000315873.txt', '0000422967.txt', '0000496316.txt', '0000608874.txt', '0000890905.txt', '0001092578.txt', '0001338548.txt', '0001350547.txt', '0001664497.txt', '0001865729.txt', '0001958814.txt']"""
0001142617.txt,"""['0001033033.txt', '0001075809.txt', '0001538869.txt', '0001949249.txt']"""
0000195752.txt,"""['0001333400.txt']"""
0000717481.txt,"""['0000010498.txt', '0000040121.txt', '0000451983.txt', '0000468835.txt', '0001292810.txt', '0001742283.txt', '0001911377.txt', '0001925650.txt', '0138715291.txt']"""
0001006731.txt,"""['0000560640.txt', '0000836694.txt', '0000854719.txt', '0001153251.txt']"""
0001606698.txt,"""['0000057800.txt', '0000301789.txt', '0000424370.txt', '0000493792.txt', '0000530481.txt', '0000568250.txt', '0000579074.txt', '0000607861.txt', '0000639353.txt', '0000709491.txt', '0000972001.txt', '0001056262.txt', '0001200889.txt', '0001736414.txt', '0001805387.txt', '0001944060.txt', '0001964972.txt']"""
0000009122.txt,"""['0000882637.txt']"""
0000437929.txt,"""['0000380958.txt', '0001300646.txt', '0001961426.txt']"""
0147083520.txt,"""['0000551517.txt', '0001015973.txt', '0001252577.txt', '0001663771.txt']"""
0000212098.txt,"""['0000212207.txt', '0001334665.txt']"""
0001432129.txt,"""['0000307071.txt', '0001054530.txt', '0001801118.txt', '0001911169.txt', '0001985697.txt']"""
0001644199.txt,"""['0000667153.txt', '0000780358.txt', '0000893980.txt', '0001018868.txt', '0001024120.txt', '0001149342.txt', '0001494709.txt']"""
0001619781.txt,"""['0000041657.txt', '0000081544.txt', '0000593214.txt', '0000623976.txt', '0001052096.txt', '0001204286.txt', '0001568935.txt', '0001672816.txt', '0157601289.txt']"""
0000014789.txt,"""['0000758905.txt', '0001059331.txt']"""
0000792301.txt,"""['0001780050.txt', '0001830078.txt']"""
0001808704.txt,"""['0001145528.txt']"""
0000721631.txt,"""['0000304628.txt', '0000839441.txt', '0001009568.txt', '0001136517.txt', '0001200661.txt', '0001401948.txt', '0001992773.txt']"""
0000533698.txt,"""['0000507157.txt', '0001900043.txt']"""
0001101230.txt,"""['0000033208.txt', '0000334039.txt', '0000747234.txt', '0000782682.txt', '0000934360.txt', '0000996317.txt', '0001474986.txt', '0001653939.txt']"""
0000887940.txt,"""['0000351056.txt', '0000504910.txt', '0001353689.txt']"""
0001444664.txt,"""['0000402967.txt', '0000485780.txt', '0001029775.txt', '0001084767.txt', '0001309362.txt', '0001442890.txt', '0001618109.txt', '0001644913.txt', '0001737373.txt', '0001753677.txt', '0001768888.txt', '0001832060.txt', '0001839963.txt', '0001990048.txt']"""
0001585519.txt,"""['0000307021.txt', '0001945016.txt']"""
0001114158.txt,"""['0000282494.txt']"""
0001613617.txt,"""['0000186266.txt', '0000537770.txt', '0000599506.txt', '0000657847.txt']"""
0001893685.txt,"""['0000242776.txt', '0000372920.txt', '0000899432.txt', '0000987299.txt', '0001000226.txt', '0001012363.txt', '0001036851.txt', '0001265206.txt', '0001307370.txt', '0001430396.txt', '0001460419.txt', '0001652416.txt', '0001812003.txt', '0001956124.txt']"""
0001837966.txt,"""['0000254611.txt', '0000332955.txt', '0000397076.txt', '0000528013.txt', '0000538188.txt', '0000648722.txt', '0001093168.txt', '0001247083.txt', '0001263190.txt', '0001266374.txt', '0001396529.txt', '0001425329.txt', '0001428646.txt', '0001712107.txt']"""
0000768175.txt,"""['0001938988.txt']"""
0001032947.txt,"""['0000091350.txt', '0000622399.txt', '0001430374.txt', '0001900466.txt']"""
0001368197.txt,"""['0000313924.txt', '0000415913.txt', '0001325441.txt', '0001802048.txt', '0001829155.txt']"""
0001332953.txt,"""['0000421164.txt', '0000454259.txt', '0000502676.txt', '0000787414.txt', '0000875670.txt', '0000987874.txt', '0000996560.txt', '0001217539.txt', '0001255158.txt', '0001337112.txt', '0001398945.txt', '0001554481.txt', '0001802122.txt']"""
0001420504.txt,"""['0001632796.txt']"""
0001737373.txt,"""['0000468409.txt', '0000720959.txt', '0001488914.txt', '0001519151.txt', '0001754916.txt']"""
0132692083.txt,"""['0000069006.txt', '0000543934.txt', '0000647351.txt', '0001061356.txt', '0001217538.txt', '0001267759.txt']"""
0001483559.txt,"""['0000228352.txt', '0000416867.txt', '0000948571.txt', '0001000822.txt', '0001113996.txt', '0001330871.txt', '0001472164.txt', '0001700929.txt']"""
0000610134.txt,"""['0000135147.txt', '0000552061.txt', '0000825583.txt', '0001363897.txt', '0001753520.txt', '0146239523.txt']"""
0000123653.txt,"""['0000705724.txt', '0001070998.txt', '0001640507.txt']"""
0000051438.txt,"""['0000586994.txt', '0000772259.txt', '0001182839.txt', '0001610057.txt']"""
0000643909.txt,"""['0000005192.txt', '0000019951.txt', '0000124177.txt', '0000174208.txt', '0000479805.txt', '0000519148.txt', '0000631068.txt', '0000706745.txt', '0000942439.txt', '0001065068.txt', '0001067634.txt', '0001701689.txt', '0001832798.txt']"""
0001484981.txt,"""['0000544869.txt', '0001478450.txt', '0001514049.txt']"""
0001742802.txt,"""['0000016718.txt', '0000070419.txt', '0000096233.txt', '0000126467.txt', '0000134248.txt', '0000174941.txt', '0000288855.txt', '0001070412.txt', '0082214434.txt']"""
0000545914.txt,"""['0000330608.txt', '0001114158.txt', '0001389940.txt', '0001732339.txt', '0001883538.txt', '0044410582.txt']"""
0001231997.txt,"""['0000201019.txt', '0000251861.txt', '0000464294.txt', '0000514900.txt', '0000561692.txt', '0000570928.txt', '0000693698.txt', '0000727298.txt', '0000745758.txt', '0001061804.txt', '0001418391.txt', '0001463903.txt', '0001604162.txt', '0001688074.txt', '0001714839.txt', '0001759402.txt', '0001789036.txt', '0001995929.txt', '0031443063.txt']"""
0000553744.txt,"""['0000554818.txt', '0000563197.txt', '0000590173.txt', '0000863726.txt', '0126339699.txt']"""
0000143379.txt,"""['0000186428.txt', '0000324811.txt', '0000838233.txt', '0001171702.txt', '0001281050.txt', '0001590667.txt', '0001605374.txt', '0001837000.txt', '0001892096.txt', '0001900621.txt']"""
0000512761.txt,"""['0000004354.txt', '0000040715.txt', '0000149321.txt', '0000165273.txt', '0000195765.txt', '0000203735.txt', '0000212098.txt', '0000257876.txt', '0000399708.txt', '0000535729.txt', '0000686466.txt', '0000703393.txt', '0000724540.txt', '0000751632.txt', '0000833521.txt', '0000944601.txt', '0001149369.txt', '0001195357.txt', '0001241088.txt', '0001262157.txt', '0001276295.txt', '0001315823.txt', '0001331941.txt', '0001342109.txt', '0001363234.txt', '0001393122.txt', '0001492399.txt', '0001509783.txt', '0001586918.txt', '0001596466.txt', '0001649950.txt', '0001775396.txt', '0001806386.txt', '0001913766.txt', '0001964375.txt', '0001993702.txt', '0013862901.txt']"""
0000789825.txt,"""['0000121995.txt', '0000160284.txt', '0000332255.txt', '0000548774.txt', '0000625579.txt', '0000643730.txt', '0000832312.txt', '0000869245.txt', '0000880455.txt', '0000913418.txt', '0000921195.txt', '0001478974.txt', '0001482259.txt', '0193029735.txt']"""
0000761967.txt,"""['0000108021.txt', '0000212098.txt', '0000227612.txt', '0000233559.txt', '0000351394.txt', '0000656658.txt', '0000762155.txt', '0000763703.txt', '0001063853.txt', '0001108730.txt', '0001125816.txt', '0001179473.txt', '0001263190.txt', '0001334665.txt', '0001399611.txt', '0001623923.txt', '0001683423.txt', '0001691358.txt', '0001857950.txt']"""
0001507940.txt,"""['0000553290.txt', '0001107594.txt']"""
0000181784.txt,"""['0000321174.txt', '0001859206.txt']"""
0001538869.txt,"""['0000043994.txt', '0001949249.txt']"""
0001179473.txt,"""['0001063853.txt', '0001249510.txt', '0001623923.txt']"""
0001084767.txt,"""['0000039750.txt', '0000321779.txt', '0000429865.txt', '0000531981.txt', '0000591045.txt', '0000669289.txt', '0000809179.txt', '0001136271.txt', '0001454741.txt', '0001605661.txt', '0001777776.txt', '0001818078.txt', '0027391014.txt', '0061794387.txt']"""
0000941065.txt,"""['0000074772.txt', '0000844764.txt', '0046253245.txt']"""
0000201545.txt,"""['0001114727.txt']"""
0000862612.txt,"""['0000027875.txt', '0000293176.txt', '0000295165.txt', '0001020411.txt', '0001388134.txt', '0001916066.txt']"""
0000511868.txt,"""['0000252279.txt', '0001009721.txt', '0001283676.txt', '0001401120.txt']"""
0001143110.txt,"""['0000063310.txt', '0000159823.txt', '0000219225.txt', '0000327202.txt', '0000429357.txt', '0000703978.txt', '0000721631.txt', '0000783511.txt', '0000941104.txt', '0001401948.txt', '0001514279.txt', '0001662637.txt', '0001886356.txt', '0118959948.txt']"""
0000682520.txt,"""['0001292810.txt', '0001450722.txt', '0001620030.txt']"""
0000485780.txt,"""['0000039750.txt', '0000070836.txt', '0000539447.txt', '0000616577.txt', '0000923724.txt', '0001237778.txt', '0001294265.txt', '0001418391.txt', '0001863875.txt']"""
0000973037.txt,"""['0000451983.txt', '0000787513.txt', '0000930201.txt', '0000984986.txt', '0001159007.txt', '0001333014.txt', '0001432437.txt', '0001707850.txt', '0001781444.txt', '0001822801.txt']"""
0104274234.txt,"""['0000303241.txt', '0000392071.txt', '0000656672.txt', '0000670637.txt', '0000755258.txt', '0001015973.txt', '0001646273.txt', '0001703545.txt', '0001953165.txt', '0069408974.txt', '0147083520.txt']"""
0001434001.txt,"""['0000035719.txt', '0000281737.txt', '0000321077.txt', '0000443326.txt', '0000460540.txt', '0000572135.txt', '0000587295.txt', '0000680068.txt', '0000983020.txt', '0001250609.txt', '0001417351.txt', '0001434001.txt', '0001517044.txt', '0001930089.txt', '0001975620.txt', '0028653672.txt']"""
0001739320.txt,"""['0000504032.txt', '0001089643.txt', '0001198423.txt', '0001590363.txt', '0001812696.txt', '0033393839.txt']"""
0000010271.txt,"""['0000040914.txt', '0000455716.txt', '0000686491.txt', '0000937251.txt', '0001035123.txt', '0001147147.txt', '0001786065.txt', '0001862687.txt']"""
